Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
18.0,2022,166.0,127.0,570.0,2.0,1.0,15.0,2.0,5.0,6.0,1035,272.0,132.0,1.0,3.0,4,5,34990.0
2.0,2014,305.0,145.0,684.0,2.0,1.0,11.0,0.0,1.0,5.6,82624,9.0,56.0,1.0,4.0,4,5,24985.0
33.0,2012,188.0,127.0,984.0,2.0,1.0,11.0,2.0,5.0,8.4,105672,170.0,306.0,1.0,3.0,4,5,17990.0
29.0,2005,56.0,154.0,2349.0,2.0,1.0,24.0,3.0,1.0,9.8,115821,379.0,211.0,2.0,5.0,4,5,8499.0
29.0,2011,95.0,145.0,471.0,2.0,1.0,14.0,1.0,5.0,7.9,189711,47.0,276.0,1.0,4.0,4,5,12990.0
29.0,2018,32.0,127.0,954.0,2.0,1.0,16.0,2.0,5.0,6.9,114301,311.0,520.0,1.0,3.0,4,5,21950.0
43.0,2015,193.0,127.0,1783.0,2.0,1.0,36.0,1.0,4.0,7.9,94377,311.0,307.0,3.0,3.0,4,5,23888.0
22.0,2007,153.0,145.0,2294.0,2.0,1.0,31.0,0.0,1.0,6.7,264691,338.0,192.0,3.0,4.0,4,5,7949.0
22.0,2015,153.0,145.0,928.0,2.0,1.0,36.0,3.0,4.0,9.1,140964,170.0,15.0,3.0,4.0,4,5,13990.0
15.0,2013,86.0,127.0,1600.0,2.0,1.0,31.0,3.0,5.0,7.4,141000,234.0,56.0,3.0,3.0,4,5,14999.0
29.0,2016,32.0,127.0,952.0,2.0,1.0,16.0,2.0,5.0,7.6,240402,338.0,234.0,1.0,3.0,4,5,22750.0
9.0,2022,237.0,154.0,1587.0,2.0,1.0,24.0,0.0,1.0,7.5,10579,60.0,177.0,2.0,5.0,4,5,37990.0
33.0,2013,283.0,154.0,1211.0,2.0,1.0,16.0,0.0,1.0,9.9,163161,311.0,156.0,1.0,5.0,4,5,16999.0
15.0,2014,91.0,127.0,1109.0,2.0,1.0,9.0,2.0,5.0,8.7,103211,264.0,529.0,1.0,3.0,4,5,23880.0
33.0,2007,283.0,154.0,991.0,2.0,2.0,16.0,0.0,1.0,7.4,177751,311.0,432.0,1.0,5.0,4,5,10990.0
1.0,2013,231.0,145.0,2534.0,2.0,1.0,5.0,2.0,4.0,6.6,163000,338.0,102.0,1.0,4.0,4,5,16995.0
23.0,2012,265.0,145.0,1949.0,2.0,1.0,15.0,1.0,5.0,5.6,109459,338.0,414.0,1.0,4.0,4,5,18888.0
34.0,2006,213.0,154.0,1753.0,2.0,1.0,14.0,0.0,1.0,9.6,212953,338.0,56.0,1.0,5.0,4,5,9998.0
45.0,2009,239.0,145.0,1038.0,2.0,1.0,13.0,1.0,1.0,8.2,163012,178.0,29.0,1.0,4.0,4,5,9990.0
2.0,2015,302.0,145.0,1302.0,2.0,1.0,11.0,1.0,1.0,10.0,85958,311.0,95.0,1.0,4.0,4,5,17999.0
2.0,2011,20.0,127.0,3070.0,2.0,1.0,11.0,3.0,4.0,8.8,118642,9.0,464.0,1.0,3.0,4,5,12990.0
45.0,2012,69.0,127.0,2098.0,2.0,1.0,16.0,2.0,5.0,7.9,187265,157.0,377.0,1.0,3.0,4,5,13990.0
33.0,2022,283.0,154.0,1467.0,2.0,1.0,16.0,0.0,1.0,8.1,19978,311.0,156.0,1.0,5.0,4,5,36800.0
43.0,2011,127.0,145.0,1021.0,2.0,2.0,11.0,1.0,5.0,8.2,86804,229.0,464.0,1.0,4.0,4,5,13999.0
18.0,2013,284.0,145.0,1922.0,2.0,1.0,11.0,1.0,1.0,7.2,165306,311.0,533.0,1.0,4.0,4,5,14995.0
29.0,2016,94.0,145.0,1430.0,2.0,1.0,16.0,1.0,5.0,7.1,104887,229.0,95.0,1.0,4.0,4,5,22990.0
16.0,2018,78.0,127.0,2236.0,2.0,1.0,6.0,2.0,5.0,9.3,97460,272.0,234.0,1.0,3.0,4,5,30990.0
45.0,2009,57.0,145.0,2474.0,2.0,1.0,3.0,1.0,4.0,8.2,178389,229.0,533.0,1.0,4.0,4,5,8499.0
34.0,2010,301.0,145.0,1762.0,2.0,1.0,16.0,2.0,5.0,11.5,152831,229.0,379.0,1.0,4.0,4,5,11669.0
18.0,2017,164.0,60.0,2864.0,2.0,1.0,11.0,2.0,5.0,5.9,69218,311.0,95.0,1.0,1.0,4,5,24950.0
45.0,2013,69.0,127.0,1032.0,2.0,1.0,16.0,2.0,5.0,6.6,124093,170.0,177.0,1.0,3.0,4,5,16990.0
23.0,2015,269.0,127.0,2905.0,2.0,1.0,34.0,3.0,5.0,7.2,61481,210.0,102.0,3.0,3.0,4,5,17995.0
15.0,2010,86.0,127.0,899.0,2.0,1.0,36.0,3.0,5.0,11.5,174818,60.0,306.0,3.0,3.0,4,5,12800.0
29.0,2016,32.0,127.0,2345.0,2.0,1.0,16.0,2.0,5.0,9.9,226127,60.0,14.0,1.0,3.0,4,5,17950.0
1.0,2019,38.0,127.0,173.0,2.0,1.0,11.0,2.0,4.0,5.4,58185,272.0,380.0,1.0,3.0,4,5,33888.0
16.0,2021,42.0,127.0,90.0,2.0,1.0,15.0,2.0,5.0,7.4,16136,137.0,264.0,1.0,3.0,4,5,39990.0
45.0,2015,88.0,127.0,230.0,2.0,1.0,9.0,2.0,5.0,6.7,31531,287.0,256.0,1.0,3.0,4,5,23950.0
15.0,2018,86.0,159.0,560.0,2.0,1.0,36.0,3.0,5.0,7.5,76472,264.0,1.0,3.0,6.0,4,5,41950.0
34.0,2018,301.0,145.0,1484.0,2.0,1.0,7.0,2.0,1.0,7.4,62719,234.0,276.0,1.0,4.0,4,5,21999.0
29.0,2020,32.0,127.0,100.0,2.0,1.0,14.0,2.0,4.0,7.9,52035,137.0,307.0,1.0,3.0,4,5,27990.0
1.0,2010,231.0,145.0,3063.0,2.0,1.0,5.0,2.0,4.0,6.6,146445,71.0,245.0,1.0,4.0,4,5,8950.0
21.0,2013,313.0,127.0,1136.0,2.0,1.0,13.0,3.0,1.0,10.1,69001,157.0,411.0,1.0,3.0,4,5,24990.0
9.0,2007,237.0,154.0,876.0,2.0,2.0,24.0,0.0,1.0,9.6,106718,311.0,100.0,2.0,5.0,4,5,14999.0
16.0,2016,42.0,127.0,59.0,2.0,1.0,15.0,2.0,4.0,8.3,59689,272.0,86.0,1.0,3.0,4,5,22999.0
15.0,2013,91.0,127.0,447.0,2.0,1.0,11.0,2.0,1.0,6.6,105767,279.0,29.0,1.0,3.0,4,5,19999.0
22.0,2013,153.0,145.0,1145.0,2.0,1.0,31.0,0.0,1.0,6.7,154347,15.0,327.0,3.0,4.0,4,5,15990.0
16.0,2021,90.0,145.0,3334.0,2.0,1.0,6.0,2.0,5.0,7.9,20827,157.0,28.0,1.0,4.0,4,5,32888.0
15.0,2014,86.0,159.0,444.0,2.0,1.0,31.0,3.0,5.0,7.5,114424,311.0,306.0,3.0,6.0,4,5,29990.0
